Name,Date,Location,Type,Region,Weather
Mystery Skulls,6/18/2024,The Crocodile,Music,Downtown,"Partly sunny, with a high near 66. West northwest wind 2 to 9 mph."
Quintron and Miss Pussycat,6/18/2024,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 66. West wind 2 to 8 mph."
Allie X,6/19/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 72. North wind 7 to 13 mph."
Born of Ghosts,6/19/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 72. North wind 5 to 10 mph."
Christopher Paul Stelling,6/19/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 74. North wind 3 to 9 mph."
Dollar Signs,6/19/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 73. North wind 3 to 9 mph."
Dub Lounge International,6/19/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 75. North wind 5 to 9 mph."
Juneteenth: The Music of Tina Turner,6/19/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 74. North wind 3 to 9 mph."
Lowe Cellar,6/19/2024,Chop Suey,Music,Capitol Hill / Central District,"Sunny, with a high near 73. North wind 5 to 10 mph."
Micky and The Motorcars,6/19/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 74. North wind 3 to 9 mph."
Sid Simons and The Darlings,6/19/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 72. North wind 5 to 10 mph."
Songs of Saudade,6/19/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 74. North wind 3 to 9 mph."
Bela Delgado,6/20/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 79."
